timestamp,altitude,course,horizontalAccuracy,latitude,longitude,rawSpeed
2013-12-22 19:34:03.716 +0000,224,189.211029,5,42.449592,-85.857157,9.952928
2013-12-22 19:34:04.767 +0000,224,193.157547,5,42.449498,-85.857185,10.008361
2013-12-22 19:34:06.782 +0000,226,224.274765,5,42.44934,-85.85732,10.259775
2013-12-22 19:34:08.961 +0000,228,264.454681,5,42.44928,-85.857595,10.110117
2013-12-22 19:34:10.735 +0000,227,268.439789,5,42.449267,-85.857932,11.110263
2013-12-22 19:34:12.679 +0000,228,268.686432,5,42.449262,-85.858222,11.129987
2013-12-22 19:34:13.727 +0000,228,268.686432,5,42.449259,-85.858381,11.247558
2013-12-22 19:34:14.874 +0000,229,268.686432,5,42.449256,-85.858579,11.958747
2013-12-22 19:34:16.838 +0000,228,268.686432,5,42.44925,-85.858921,13.541387
2013-12-22 19:34:18.733 +0000,229,268.833374,5,42.449244,-85.859291,14.502979
2013-12-22 19:34:19.745 +0000,229,268.833374,5,42.449241,-85.859499,14.87256
2013-12-22 19:34:21.698 +0000,228,268.833374,5,42.449235,-85.859916,16.116442
2013-12-22 19:34:22.721 +0000,228,268.833374,5,42.449232,-85.860112,16.549763
2013-12-22 19:34:23.733 +0000,229,268.833374,5,42.449228,-85.860326,16.769629
2013-12-22 19:34:25.690 +0000,231,269.283417,5,42.449224,-85.860756,17.395281
2013-12-22 19:34:26.694 +0000,231,269.283417,5,42.449222,-85.860968,17.428425
2013-12-22 19:34:28.678 +0000,234,269.283417,5,42.449218,-85.861414,17.539764
2013-12-22 19:34:29.698 +0000,234,269.283417,5,42.449216,-85.861635,17.569368
2013-12-22 19:34:30.720 +0000,234,269.283417,5,42.449214,-85.861851,17.697275
2013-12-22 19:34:32.677 +0000,235,269.283417,5,42.44921,-85.862265,17.200829
2013-12-22 19:34:33.714 +0000,236,269.283417,5,42.449208,-85.862506,17.163002
2013-12-22 19:34:34.772 +0000,236,269.283417,5,42.449205,-85.862725,18.663092
2013-12-22 19:34:36.673 +0000,235,269.283417,5,42.449202,-85.863127,17.765747
2013-12-22 19:34:38.679 +0000,236,269.283417,5,42.449198,-85.863545,5.866142
2013-12-22 19:34:40.706 +0000,237,269.283417,5,42.449194,-85.863969,7.839464
2013-12-22 19:34:41.715 +0000,237,269.283417,5,42.449192,-85.864178,10.932428
2013-12-22 19:34:43.699 +0000,239,269.283417,5,42.449189,-85.864484,12.951818
2013-12-22 19:34:45.677 +0000,239,269.283417,5,42.449187,-85.864717,10.889114
2013-12-22 19:34:46.686 +0000,240,269.283417,5,42.449186,-85.864794,8.823624
2013-12-22 19:34:47.872 +0000,240,269.283417,5,42.449186,-85.864845,6.764152
2013-12-22 19:34:49.721 +0000,241,269.283417,5,42.449185,-85.864897,2.728837
2013-12-22 19:34:51.674 +0000,240,269.283417,5,42.449185,-85.864926,2.346046
2013-12-22 19:34:52.745 +0000,240,269.283417,5,42.449185,-85.864948,2.291582
2013-12-22 19:34:54.674 +0000,241,269.283417,5,42.449184,-85.865057,3.901358
2013-12-22 19:34:55.685 +0000,241,236.953125,5,42.449184,-85.865068,4.908584
2013-12-22 19:34:56.704 +0000,241,211.289505,5,42.449006,-85.865223,5.846311
2013-12-22 19:34:57.773 +0000,241,211.289505,5,42.448926,-85.86531,7.029858
2013-12-22 19:34:59.890 +0000,240,211.289505,5,42.448758,-85.865478,11.316414
2013-12-22 19:35:01.734 +0000,239,210.917435,5,42.448478,-85.8657,16.100395
2013-12-22 19:35:02.764 +0000,238,208.156189,5,42.448351,-85.865801,16.342695
2013-12-22 19:35:03.842 +0000,238,206.760651,5,42.44822,-85.865904,16.602497
2013-12-22 19:35:05.721 +0000,238,201.991135,5,42.447861,-85.866117,18.266325
2013-12-22 19:35:06.756 +0000,238,198.034424,5,42.447686,-85.866212,20.473715
2013-12-22 19:35:07.892 +0000,239,196.927505,5,42.44751,-85.866312,21.180618
2013-12-22 19:35:09.716 +0000,240,195.887161,5,42.44713,-85.866485,21.894188
2013-12-22 19:35:10.730 +0000,241,192.778748,5,42.446933,-85.866554,22.035667
2013-12-22 19:35:12.676 +0000,241,188.440353,5,42.446517,-85.866675,22.979557
2013-12-22 19:35:13.684 +0000,241,187.299805,5,42.446304,-85.866701,23.164312
2013-12-22 19:35:14.698 +0000,241,186.170166,5,42.446092,-85.866721,23.441509
2013-12-22 19:35:15.748 +0000,242,182.910828,5,42.44586,-85.86673,23.595446
2013-12-22 19:35:17.668 +0000,241,179.438293,5,42.445427,-85.866729,24.394133
2013-12-22 19:35:19.685 +0000,242,177.60144,5,42.444983,-85.866706,24.73414
2013-12-22 19:35:20.852 +0000,242,177.60144,5,42.44476,-85.8667,24.818424
2013-12-22 19:35:22.728 +0000,241,177.60144,5,42.444298,-85.866642,25.153124
2013-12-22 19:35:23.770 +0000,241,177.60144,5,42.444044,-85.866625,25.845535
2013-12-22 19:35:25.832 +0000,241,177.60144,5,42.443545,-85.866603,26.886086
2013-12-22 19:35:27.693 +0000,242,177.144226,5,42.443005,-85.866593,27.963949
2013-12-22 19:35:28.700 +0000,242,177.144226,5,42.442743,-85.866566,28.007915
2013-12-22 19:35:30.814 +0000,241,177.144226,5,42.442251,-85.86654,27.786657
2013-12-22 19:35:32.690 +0000,241,177.144226,5,42.44174,-85.866506,27.956192
2013-12-22 19:35:33.706 +0000,241,177.309464,5,42.441494,-85.866502,27.959715
2013-12-22 19:35:35.673 +0000,240,177.309464,5,42.440966,-85.866452,27.930176
